"","observation_date","POILBREUSDQ","us_CPI","inflation_uk","gva_scot_service","gva_scot_production","gva_prod_mining","gva_prod_manufacture","gdp_UK_prod","gdp_uk","gdp_deflator","gvacp_allMill","gva_CP_oilandgasMill","uk_production","imports","exports","net_exports","demand_uk","supply_uk","aberdeen_unemp","scotland_unemp","UK_unemp"
"51",2016-07-01,45.8013121902252,104.366,101.2,100.503501967666,100.1,101.072335858912,99.5578785289517,99.9,100.1,102.429228110893,463508,2718,10559.62,12328.09,8224.57,-4103.52,15371.73,15367.08,4.80000019073486,4.5,4.6
"52",2016-10-01,50.0782178932179,104.847,101.9,100.389703124145,99.3,101.629906474046,99.0532945288408,100.6,100.6,103.152078138399,466162,2916,10582.91,13136.07,8565.15,-4570.92,15562.13,15577.77,4.59999990463257,4.30000019073486,4.5
"53",2017-01-01,54.1181627140975,105.421,102.3,100.654889719138,101.1,103.345575678776,102.271771280598,101.3,101,103.640852475079,468382,3484,11100.11,12476.31,9823.55,-2652.76,14591.1,14583.93,4.19999980926514,4.09999990463257,4.4
"54",2017-04-01,50.2763050065876,105.654,103.4,100.526302860906,101.2,104.38096545128,101.794355685773,100.9,101.1,103.715113874746,470186,3201,10917.78,13703.33,9692.3,-4011.03,15281.72,15296.72,4.5,4.19999980926514,4.3
"55",2017-07-01,51.7408074534161,106.084,103.9,100.746480417479,102.1,106.374576293333,100.726923353878,101.8,101.3,103.986971557649,472346,3501,10459.65,13990.96,9635.82,-4355.14,15407.86,15435.11,4.40000009536743,4.09999990463257,4.2
"56",2017-10-01,61.4683621933622,106.775,104.7,100.92446123034,103.2,105.968940786284,102.297657607057,102.9,101.6,105.17196059378,474003,3879,10707.13,13120.2,9167.17,-3953.03,14975.92,14947.34,4.59999990463257,4.19999980926514,4.2
"57",2018-01-01,66.951325428195,107.485,104.8,101.680693524335,104.8,103.903483077192,105.171288808599,102.8,101.5,105.626082622421,474384,4162,11582.03,11374.82,10738.01,-636.809999999999,13178.44,13209.72,5.09999990463257,4.30000019073486,4.2
"58",2018-04-01,74.4886680469289,108.081,105.8,102.193956793651,105.6,104.252410341913,105.851477714699,102.4,101.9,106.239481236764,476012,4541,11945.39,13317.39,10815.55,-2501.84,14170.78,14167.7,4.90000009536743,4.09999990463257,4.1
"59",2018-07-01,75.4754743083004,108.501,106.3,102.552821260157,105.1,105.742630069239,105.586818452148,102.9,102.3,106.862082822034,479194,4889,11392.98,14009.4,10996.53,-3012.87,15690.31,15677.75,4.09999990463257,4.09999990463257,4.1
"60",2018-10-01,67.3692935566849,108.889,106.9,102.889036051289,103.6,105.822847167364,104.751462570769,102,102.4,107.155600978557,480659,4491,12630.09,13857.5,12064.8,-1792.7,15657.73,15644.6,3.59999990463257,3.90000009536743,3.9
"61",2019-01-01,63.2725203588682,109.042,106.7,103.087490863003,106.1,108.761910665281,107.067096442093,102.9,102.9,107.970086358322,483367,4174,12814.83,13130.84,11186.95,-1943.89,14751.02,14750.11,3.09999990463257,3.5,3.9
"62",2019-04-01,68.3397799736495,109.726,107.8,103.209734080494,104.3,109.830237767754,103.792390294196,101.1,102.7,108.442090142632,483328,4362,12104.71,13206.65,12007.39,-1199.26,13916.94,13921.73,2.59999990463257,3.29999995231628,3.9
"63",2019-07-01,61.8590909090909,110.108,108.2,103.31120149286,105.2,109.246673175665,102.95169545469,100.8,103.1,109.141404821152,485387,4196,11592.65,12591.83,11018.27,-1573.56,14876.15,14874.62,2.70000004768372,3.40000009536743,3.9
"64",2019-10-01,62.6562770562771,110.529,108.4,103.941608149354,103.3,109.032976472017,101.372845137509,100.2,102.9,109.337772644899,485310,4173,12231.14,13293.29,10697.88,-2595.41,15685.33,15675.35,3.5,3.5,4.2
"65",2020-01-01,50.5291640316206,110.882,108.5,100.3,108.891615854027,94.3894138223353,98.8,91.7,101.479514318029,110.955777323168,472581,3432,12150.02,11923.57,10557.9,-1365.67,14068.82,14075.37,4.5,4.30000019073486,4.6
